median_square_feet,average_listing_price,indicator
1841,452628,No deal
2741,1800726,No deal
2136,394915,Good deal
2096,362300,Good deal
1361,189525,Good deal
1298,247625,Good deal
1054,224900,Good deal
1172,197500,Good deal
1600,194475,Good deal
1553,1176125,No deal
1556,140000,Good deal
2600,177500,Good deal
1448,111600,Good deal
2060,745373,Good deal
2002,97027,Good deal
1919,305386,Good deal
1728,282868,Good deal
2272,408914,Good deal
2132,271700,Good deal
2257,350363,Good deal
3008,522500,No deal
2018,353477,Good deal
3927,4090642,No deal
2094,135613,Good deal
2094,199900,Good deal
1697,287300,Good deal
1200,185225,Good deal
1529,247353,Good deal
1528,379077,No deal
2152,637333,Good deal
1600,279000,Good deal
1360,179917,Good deal
1939,412159,Good deal
1723,491485,No deal
1837,469101,No deal
1161,1225151,No deal
2753,312450,No deal
2581,1099000,No deal
1819,259238,Good deal
4821,1924250,No deal
1463,242066,Good deal
1891,557055,Good deal
1947,324731,Good deal
2944,323624,No deal
2340,229900,Good deal
1245,370991,No deal
2318,674800,Good deal
2523,277000,Good deal
1820,129683,Good deal
2363,355464,No deal
3009,1055680,No deal
1404,170714,Good deal
2045,1038475,Good deal
3036,410760,No deal
2267,377110,Good deal
1571,219988,Good deal
3414,715701,No deal
1768,187500,Good deal
1592,166125,Good deal
1248,567648,No deal
2909,618250,No deal
1712,332220,No deal
1509,134725,Good deal
925,100392,Good deal
2868,340000,No deal
2008,484489,Good deal
1628,306892,No deal
1600,885558,No deal
2482,337570,No deal
1732,49900,Good deal
1827,772375,No deal
944,59900,Good deal
3696,1214416,No deal
800,129900,Good deal
2196,578747,Good deal
2238,265157,Good deal
2330,41450,Good deal
1912,375997,Good deal
2612,435863,No deal
2600,150000,Good deal
1110,59000,Good deal
1302,134404,Good deal
1506,396194,No deal
1219,84900,Good deal
780,897700,No deal
1404,403799,No deal
1582,397528,No deal
3138,1265667,No deal
2244,380550,Good deal
1411,555493,No deal
2600,332308,No deal
1929,646083,Good deal
2309,487503,Good deal
2016,372675,Good deal
1866,516783,No deal
1420,60000,Good deal
2426,465120,No deal
1196,574834,No deal
3902,889000,No deal
2249,26668,Good deal
1200,207560,Good deal
3000,395000,No deal
